DATE,TIME,AUTHOR,COPY,ASSETS
"Friday, July 24th, 2015",11:50,me,So I think my boobs are trying to kill me.,
"Friday, July 24th, 2015",11:50,me,"Went to the naturopathic doctor. Once he heard my symptoms, he backed away and told me to immediately get a biopsy. There was ""nothing he could do for me anymore""",
"Friday, July 24th, 2015",11:50,negative,uh oh.,
"Friday, July 24th, 2015",11:50,negative,that can't be good.,
"Friday, July 24th, 2015",11:51,positive,"It's fine, doctors overreact.",
"Saturday, July 25th, 2015",10:30,me,"It's so weird-- I've never been to a ""real"" doctor besides my parents.",
"Saturday, July 25th, 2015",10:31,negative,Which is probably why you're DYING.,
"Sunday July 26th, 2015",22:34,me,Can't sleep.,
"Sunday July 26th, 2015",22:34,me,What happens if the diagnosis is bad...,
"Sunday July 26th, 2015",22:35,positive,"Oh, come on. Doctors always tell you the worst.",
"Sunday July 26th, 2015",22:35,positive,Don't worry. No matter what happens tomorrow...the only difference between yesterday and tomorrow is that you'll know. ,
"Sunday July 26th, 2015",22:35,negative,But if it's bad...,
"Monday July 27th, 2015 ",11:34,positive,phew. Doctor says she's not worried.,
"Monday July 27th, 2015 ",11:34,negative,She still sent you to get an ultrasound.,
"Monday July 27th, 2015 ",11:34,me,....right.,
"Monday July 27th, 2015 ",11:35,positive,she's just doing it to be sure.,
"Monday July 27th, 2015 ",11:42,negative,.....but if it's bad.....,
"Monday July 27th, 2015 ",12:34,me,MY APPOINTMENT WAS AT 12:30 I'VE BEEN SITTING HERE FOR 25 MINUTES,
"Monday July 27th, 2015 ",12:34,negative,DYING FOR 25 MINUTES,
"Monday July 27th, 2015 ",12:35,positive,DEEP BREATHS DEEP BREATHS. MEDITATION. INHALE EXHALE INHALE EXHALE.,
"Monday July 27th, 2015 ",13:32,me,My technician keeps calling all the ultrasound pictures she's taking 'beautiful',
"Monday July 27th, 2015 ",13:32,positive,"As long as she's still positive, all the more reason to take it easy. It can't be that bad.",
"Monday July 27th, 2015 ",13:39,negative,"Well, she just bolted off saying ""she needed to talk to the doc""",
"Monday July 27th, 2015 ",13:39,negative,...shit.,
"Monday July 27th, 2015 ",13:45,me,"Well, Dr. Pusey saw the ultrasound and requested a mammogram.",
"Monday July 27th, 2015 ",13:45,negative,ohmyshit.,
"Monday July 27th, 2015 ",13:47,positive,shh shh shhhhh. We don't know the results yet. ,
"Monday July 27th, 2015 ",14:12,me,"....they gave me a 2"" thick board to ""protect my ovaries"", while the technician stands behind a fking SHIELD while conducting the mammogram. There's no way in hell that this can be good for me.",
"Monday July 27th, 2015 ",14:12,negative,"So you're saying...if you didn't have cancer, you're probably going to have it now.",
"Monday July 27th, 2015 ",14:35,me,"Doctor told me to ""have a seat""",
"Monday July 27th, 2015 ",14:35,negative,"Fuck. You know, in those movies...good news never follows ""have a seat""",
"Monday July 27th, 2015 ",14:39,me,What's calcification? ,
"Monday July 27th, 2015 ",14:39,negative,"I don't know, but mom and dad don't look too happy.",
"Monday July 27th, 2015 ",14:43,positive,She didn't say cancer. She never said cancer. You're good.,
"Monday July 27th, 2015 ",14:43,positive,Biopsy scheduled. One more chance to prove you'll be fine.,
"Tuesday July 28th, 2015",23:35,me,I FUCKING HATE NEEDLES.,
"Wednesday, July 29th, 2015",16:15,me,"Apparently I have this illogical belief where if I'm super nice to my technicians, somehow I won't have cancer.",
"Thursday, July 30th, 2015",20:23,me,Shopping and splurging on ice cream with parents to get my mind off of the results tomorrow.,
"Thursday, July 30th, 2015",20:23,negative,Because it's the last.,
"Thursday, July 30th, 2015",20:23,negative,you'll.,
"Thursday, July 30th, 2015",20:23,negative,ever.,
"Thursday, July 30th, 2015",20:23,negative,have.,
"Thursday, July 30th, 2015",20:23,negative,lol jk.,
"Thursday, July 30th, 2015",20:23,negative,but really.,
"Thursday, July 30th, 2015",20:23,negative,probably.,
"Friday, July 31st, 2015",16:36,me,"Ok universe, I get it.

If this is some crazy lesson to get me to appreciate life more, I get it. I do. Really.

Please, please I beg of you. Please stop. I’ve learned my lesson. Please, I beg of you, please don’t be cancer.",
"Friday, July 31st, 2015",16:42,negative,Oh god the technician saw me and ran away.,
"Friday, July 31st, 2015",16:42,negative,OH GOD SHE KNOWS.,
"Friday, July 31st, 2015",16:54,me,Doctor's here.,
"Friday, July 31st, 2015",16:55,negative,She's avoiding my gaze.,
"Friday, July 31st, 2015",16:55,negative,Her hands are shaking.,
"Friday, July 31st, 2015",16:55,negative,Oh my god she's asking us to SIT DOWN. ,
"Friday, July 31st, 2015",16:55,negative,THIS CAN'T BE GOOD.,
"Friday, July 31st, 2015",16:56,positive,It's fine. ,
"Friday, July 31st, 2015",16:56,positive,smile! &#x1f60a,
"Friday, July 31st, 2015",16:56,positive,You're going to be fine.,
"Friday, July 31st, 2015",17:02,me,"……




Well.


I have cancer.",
"Friday, July 31st, 2015",17:02,negative,....fuck.,
"Friday, July 31st, 2015",17:03,positive,hey. hey remember what we talked about? You're going to be fine.,
"Friday, July 31st, 2015",17:03,negative,"Hey fuck you, stop saying it's going to be fine. You don't know that. ",
"Friday, July 31st, 2015",17:03,positive,You're going to be beat this.,
"Friday, July 31st, 2015",17:03,positive,You're going to be okay.,
"Friday, July 31st, 2015",17:04,me,"……

How are mom and dad?",
"Friday, July 31st, 2015",17:04,negative,In shock.,
"Friday, July 31st, 2015",17:05,me,"
I guess you can’t blame them. They’ve spent their lives teaching people how to prevent cancer.

Their own little girl was just diagnosed. How do you think they'd feel?

Grandma died from breast cancer. I can’t even imagine what dad’s going through.",
"Friday, July 31st, 2015",17:05,me,Everything's going in slow motion.,
"Friday, July 31st, 2015",17:07,positive,You need time to digest this. Go out for a walk. Go to where people are. Take deep breaths. ,
"Friday, July 31st, 2015",17:07,positive,It's not the end of the world.,
"Friday, July 31st, 2015",18:52,me,Welp. I just broke down crying in a public restaurant.,
"Friday, July 31st, 2015",18:52,me,Is this what it's going to be like from now on?,
"Friday, July 31st, 2015",18:55,positive,"It could be.

Or it could be like this:

Besides grandma, everyone else you know has survived from cancer. And they’ve survived well.

You’re not dead yet. And you probably won’t die. Cancer isn’t a death sentence. 

You’re going to be okay.",
"Friday, July 31st, 2015",18:55,positive,"Take advantage of this opportunity and turn this into something meaningful. An art piece, a time to grow, a chance to empathize with people are going through their own painful experiences.

You’re going to understand a pain that most people have never been through.

And you’re going to be so much better because of it.",
"Friday, July 31st, 2015",18:55,positive,How you take these things are up to you.,
"Friday, July 31st, 2015",18:55,negative,Just try not to be annoying about it.,
"Friday, July 31st, 2015",19:46,me,"<img src=""img/necklace.jpg""></img>",
"Friday, July 31st, 2015",19:46,me,A gift from my parents.,
"Friday, July 31st, 2015",19:46,positive,&#x1f60a,
"Sunday, August 2nd, 2015",8:31,me,Have I discovered what will eventually kill me?,
"Sunday, August 2nd, 2015",8:32,positive,Nah. You've discovered the thing that will make you feel the most alive. ,
"Sunday, August 2nd, 2015",8:32,positive,"Besides, I've lived a life with no regrets and always went for everything I wanted...even if I was to die...it'd be okay.",
"Monday, August 3rd, 2015",14:21,me,"I worry when I see my mom putting on a positive face and telling me that taking care of me is no big deal, but then seeing her passed out sleeping on the bed mid-day.",
"Monday, August 3rd, 2015",18:16,positive,"<img src=""img/dress.png""></img>",
"Monday, August 3rd, 2015",18:16,positive,The best way to deal with shitty doctors appointments is to dress in your favorite clothes.,
"Tuesday, August 4th, 2015",18:45,me,It never really set in until we started mapping out treatment plans.,
"Tuesday, August 4th, 2015",18:48,positive,"I feel like such a normal, healthy person...the nurse took my BP & info and said ""wow, like an athlete"" &#x1f60a",
"Tuesday, August 4th, 2015",18:48,negative,"Even with that, you have cancer. Kind of scary how you would have never seen it coming, huh.",
"Tuesday, August 4th, 2015",19:23,me,The doctor wants me to go to a fertility clinic to freeze my eggs...because the treatment might make me infertile.,
"Tuesday, August 4th, 2015",19:23,positive,Cool. I didn't want kids anyways.,
"Tuesday, August 4th, 2015",19:25,negative,Wait no what the fuck.,
"Tuesday, August 4th, 2015",19:25,negative,"I mean, I don't want kids NOW",
"Tuesday, August 4th, 2015",19:25,negative,But I'd like the fucking option ,
"Tuesday, August 4th, 2015",19:25,negative,It's not fair. It's not fucking fair. I'm 25. Why the hell do I have to be pressured to answer this question now? ,
"Tuesday, August 4th, 2015",19:25,positive,maybe you should leave it up to fate.,
"Tuesday, August 4th, 2015",19:25,negative,"And what if I don't? What if I can't? What if there's no such thing as ""fate""? It's not scientifically proven. It's just this stupid myth to tell you that everything is going to be okay.",
"Tuesday, August 4th, 2015",19:25,negative,What if it's not?,
"Thursday, August 6th, 2015",9:59,me,Starting to do the inevitable deed of telling my friends.,
"Thursday, August 6th, 2015",9:59,positive,The shock...then the overwhelming amount of support is heartwarming.,
"Thursday, August 6th, 2015",9:59,negative,But then I always wonder...,
"Thursday, August 6th, 2015",9:59,negative,Will people gossip about it? ,
"Thursday, August 6th, 2015",9:59,negative,What will people think of me?,
"Monday, August 10th, 2015",10:21,me,Unnngh. MRI time. Helloooo claustrophobia.,
"Monday, August 10th, 2015",10:21,positive,Remember David Kelley's TED Talk? The MRI machine is a pirate ship!,
"Monday, August 10th, 2015",10:21,negative,Thanks but I'm not 5.,
"Wednesday, August 12th, 2015",12:01,positive,Look!,
"Wednesday, August 12th, 2015",12:01,positive,"<img src=""img/IV.png""></img>",
"Wednesday, August 12th, 2015",12:01,positive,My IV matches my skirt. On fleek! &#x1f60a,
"Thursday, August 13th, 2015",11:05,me,"Oh, Dr. Vandermolen's office called and just put me on hold. He wants to talk to me about my MRI results",
"Thursday, August 13th, 2015",11:05,negative,"He called YOU, AND put you on hold? That can't be good.",
"Thursday, August 13th, 2015",11:05,positive,"Remember, regardless of the results...you're going to be fine.",
"Thursday, August 13th, 2015",11:06,me,Thank god my mom's here. This is like the diagnosis all over again. ,
"Thursday, August 13th, 2015",11:06,me,!!!!!,
"Thursday, August 13th, 2015",11:06,me,The MRI and PET scan came back and the results are good!!! No cancer detected anywhere else!,
"Thursday, August 13th, 2015",11:06,positive,YAAAAASSSSSSSS &#x1f64c &#x1f64c &#x1f64c &#x1f64c &#x1f64c,
"Thursday, August 13th, 2015",21:12,me,"It's such a weird feeling to be sitting here, on the rooftop of a friend's apartment building, celebrating her housewarming when no one here knows I have cancer. ",
"Thursday, August 13th, 2015",21:12,me,"Makes me not want to tell anyone, now or...just..ever.",
"Thursday, August 13th, 2015",21:13,negative,I feel like it'll just ruin the fun wherever I go.,
"Thursday, August 13th, 2015",21:13,negative,"It's my problem to deal with, anyways. Why would anyone else need to know?",
"Saturday August 15th, 2015",13:02,me,Oh god I'm going to lose my hair. No one will want to ask me out.,
"Saturday August 15th, 2015",13:02,positive,Ohhhh who am I kidding. No one asks me out when I HAVE hair. It won't make a difference.,
"Saturday August 15th, 2015",13:02,positive,Imma be the most fashionable bald person there is.,
"Saturday August 15th, 2015",13:02,positive,Natalie Portman has nothing on me.,
"Wednesday August 19th, 2015",14:52,positive,"To be honest, ever since this whole thing started, I've been relaxing a LOT, getting a lot of reading done, and thinking up a lot of really great art projects. 

What a blessing in disguise.",
"Friday, August 21st, 2015",12:00,negative,Sometimes I feel like life owes me an explanation.,
"Friday, August 21st, 2015",12:00,negative,"I’ve been so good.

I don’t drink, I never do drugs, I never eat fast food and drink only green tea and water. I eat organic and rarely eat meat.

I don’t even drink coffee.

I exercise regularly, I keep a positive mindset. I go to sleep and wake up on a regular schedule. I don't even own a fucking microwave.

I do everything the goddamn book says.

EVERYTHING.

And out of EVERYONE, this has to happen to me.",
"Friday, August 21st, 2015",12:00,negative,"It's like I'm suffering for everything I did right, while everyone else is out having the time of their lives.",
"Friday, August 21st, 2015",12:05,me,"Well, that's unfair. We don't really know what causes cancer yet besides mutations in cells. All that other stuff are just possible minor factors. ",
"Friday, August 21st, 2015",12:05,positive,It's easy to look at how shitty things are right now. ,
"Friday, August 21st, 2015",12:05,positive,"Everyone always says that you're going to be better because of it. I know it's hard to remember when it sucks so much right now, but five years from now it'll all be a blur.",
"Tuesday, August 25th, 2015",8:31,me,"Mom just e-mailed me a ""12 tips to prevent cancer"" article.",
"Tuesday, August 25th, 2015",8:31,me,"Nice try, mom.",
"Tuesday, August 25th, 2015",8:31,me,I already have cancer.,
"Tuesday, August 25th, 2015",8:31,me,Huhuhuhu.,
"Tuesday, August 25th, 2015",8:31,me,I love morbid jokes.,
"Tuesday, August 25th, 2015",13:37,me,OMG i just got the worst haircut ever. It's too short. &#x1f629,
"Tuesday, August 25th, 2015",13:37,positive,There are worse things.,
"Tuesday, August 25th, 2015",13:37,positive,Like getting cancer,
"Tuesday, August 25th, 2015",13:37,positive,lololololol,
"Tuesday, August 25th, 2015",13:37,positive,#morbidjokes,
"Tuesday, August 25th, 2015",13:39,me,"I guess I won't be that sad if i lose it now, lol. ",
"Thursday, August 27th, 2015",18:37,me,A lot of girls love their hair. But you never realize just how much you love it until you might lose it.,
"Thursday, August 27th, 2015",18:37,negative,"What pisses me off the most, though, is how the nurse and doctor act like losing your hair is no big deal.",
"Thursday, August 27th, 2015",18:37,negative,Did you ever have you lose your hair?,
"Thursday, August 27th, 2015",18:38,negative,Were YOU ever FORCED to have all of your hair just FALL OUT without your control? ,
"Thursday, August 27th, 2015",18:38,negative,Don't you fucking dare tell me that it's not a big deal.,
"Thursday, August 27th, 2015",18:38,negative,You don't fucking know. ,
"Thursday, August 27th, 2015",19:52,positive,Hey.,
"Thursday, August 27th, 2015",19:52,positive,Take it like another creative brief.,
"Thursday, August 27th, 2015",19:52,positive,What creative things can you do when you're bald?,
"Thursday, August 27th, 2015",19:52,positive,Girls don't often get the chance to be bald. Take the opportunity to be a badass baldie.,
"Thursday, August 27th, 2015",19:52,positive,Crystal mohawk?,
"Thursday, August 27th, 2015",19:52,positive,OMGOMGOMG,
"Thursday, August 27th, 2015",19:52,positive,GO TO WORK AS MR. CLEAN. LOLLLL,
"Thursday, August 27th, 2015",19:54,positive,"Shachar says I should just go to work as a bunch of famous bald people. Donald Trump, Jafar, Xavier....",
"Thursday, August 27th, 2015",19:54,me,wtf. Now I'm excited to be bald. &#x1f610,
"Monday, August 31st, 2015",19:02,me,So I tried to pull the cancer card on mom today.,
"Monday, August 31st, 2015",19:02,me,"She was scolding me for something I left on the floor, so I made a puppy dog face and said ""...but mom, I have cancer :(""",
"Monday, August 31st, 2015",19:02,me,"She laughed and said ""OTHER PEOPLE HAD CANCER AND WROTE A BOOK. WHAT DID YOU DO?!""",
"Monday, August 31st, 2015",19:02,me,hehehe. #asianmoms,
"Monday, August 31st, 2015",19:03,positive,The good thing is she's taking these morbid jokes much better than she did before. ,
"Wednesday, September 2nd, 2015",10:14,me,Told my mom about my bald plan.,
"Wednesday, September 2nd, 2015",10:14,me,"She laughed and said ""You're going to be so disappointed if you don't lose your hair.""",
"Wednesday, September 2nd, 2015",10:14,me,"Then she looked at her maroon-colored bedspread and said ""You could be the Dalai lama"" and started laughing even harder.",
"Wednesday, September 2nd, 2015",10:15,me,"Now she yelled ""GANDHI!"". She's on a roll.",
"Wednesday, September 2nd, 2015",10:15,positive,Humor is the best medicine. &#x1f60a,
"Friday, September 4th, 2015",10:30,me,"During the echocardiogram, my technician told me about ice caps -- some new way to keep your hair during chemo.",
"Friday, September 4th, 2015",10:30,positive,"I said ""Thanks, but I already have my bald plan figured out"", and told him about the Dalai Lama and Gandhi.",
"Friday, September 4th, 2015",10:30,positive,"He laughed and told me ""The King & I!"" and made me promise that the next time I see him, I have to be dressed up. &#x1f601",
"Friday, September 4th, 2015",17:02,me,I had my first surgery today.,
"Friday, September 4th, 2015",17:02,me,Nothing 'big'-- putting a port into my vein so chemo will be easier.,
"Friday, September 4th, 2015",17:02,negative,Jeezus. Needles are bad enough.,
"Friday, September 4th, 2015",17:02,me,Staying awake while they did the procedure was terrifying enough.,
"Friday, September 4th, 2015",17:03,positive,"No matter how many doctors I see, I just happen to be super lucky and get the happiest, funniest doctors. ",
"Friday, September 4th, 2015",17:03,positive,"During the procedure, kept joking back and forth, making everything so much easier. ",
"Friday, September 4th, 2015",22:12,negative,"Booking improv tickets after doctors appointments make things so much easier...but now, during the show, I just feel tired.",
"Friday, September 4th, 2015",22:12,negative,"Actually, I feel tired all the time.",
"Friday, September 4th, 2015",22:12,negative,and chemo hasn't even started...,
"Saturday, September 5th, 2015",3:03,negative,Staying positive is hard when you're in so much pain.,
"Saturday, September 5th, 2015",3:03,me,The funniest thing is when the nurse asks you what your pain tolerance is.,
"Saturday, September 5th, 2015",3:03,me,"I want to say ""uh...I don't tolerate any pain"", but I know that's not what they're looking for.",
"Saturday, September 5th, 2015",3:03,me,Like....care to look at Allie Brosh's pain meter? ,
"Saturday, September 5th, 2015",3:03,me,"<a href=""http://hyperboleandahalf.blogspot.com/2010/02/boyfriend-doesnt-have-ebola-probably.html"">Hyperbole and a Half</a>",
"Monday, September 7th, 2015",19:14,me,Somebody better take me to fucking Disneyland after all this is over.,
"Tuesday September 8th, 2015",21:55,me,You know. There was a part of me that was really hoping this port was going to stick out and it would be like I was in the matrix.,
"Tuesday September 8th, 2015",21:55,positive,Man. That would have been so cool. ,
"Wednesday September 9th, 2015",19:00,positive,Pre-Chemo party time.,
"Wednesday September 9th, 2015",21:53,positive,"<img src=""img/friends.jpg""></img>",
"Wednesday September 9th, 2015",21:53,positive,:),
"Wednesday September 9th, 2015",21:53,positive,LAUNCHED! http://www.textingwithcancer.com -- phew!,
"Wednesday September 9th, 2015",21:53,positive,The best way to cope with shitty situations is to make art. ,
"Thursday September 10th, 2015",2:35,me,Yowza. I've never received so much attention in my life.,
"Thursday September 10th, 2015",2:35,me,"Past roommates, old flames, childhood friends, people I haven't even met. ",
"Thursday September 10th, 2015",2:35,positive,So much love to give. ,
"Thursday September 10th, 2015",2:35,negative,"""Cancer brings people together"" is what the slogan would be. Haaaa. ",
"Thursday September 10th, 2015",12:14,positive,Chemo time. Reading all the messages of love makes the injection so much easier to bear. ,
"Thursday September 10th, 2015",12:14,negative,Still. Needles fucking suck.,
"Thursday September 10th, 2015",12:14,negative,What also sucks is looking around and seeing that I'm the youngest patient in the room by at least 30 years. And everyone looks so sick. ,
"Thursday September 10th, 2015",12:14,positive,"Oh, you know. Always been an outlier. ;)",
"Thursday September 10th, 2015",12:16,me,"You know, I've been through alot. But the thing that drives me to tears the most is when the nurse tells me, ""It's not your fault.""",
"Thursday September 10th, 2015",12:16,negative,"When she says that it's unfair, and I'm allowed to feel that way. ",
"Thursday September 10th, 2015",12:16,positive,"I'm so used to everything having a cause or reason, and blaming myself...it feels like a release and forgiveness for being vulnerable.",
"Thursday September 10th, 2015",12:28,me,Fuck I really need to go pee.,
"Thursday September 10th, 2015",6:45,positive,"<img src=""img/flowers.jpg""></img>",
"Thursday September 10th, 2015",6:45,positive,Sweetness from my coworkers welcoming me at my doorstep after chemo. Nothing better than coming back from chemo with bouquets full of love. <3 ,
"Friday, September 11th, 2015",8:23,me,"I'm lying in bed, staring at the ceiling, kind of just waiting for the side effects to kick in. ",
"Friday, September 11th, 2015",8:23,negative,Jeezus christ.,
"Friday, September 11th, 2015",8:23,positive,That's no way to live.,
"Friday, September 11th, 2015",8:23,negative,"Seriously, what's wrong with you.",
"Friday, September 11th, 2015",8:23,positive,"Go out and take a walk. Remember The Happiness Advantage -- your mental / emotional state is an extremely powerful thing. Don't let negative thoughts induce the side effects -- sometimes they don't even happen. Doctors just say those things 'just in case'. Might not happen to you! Just stay healthy, hydrated, and exercise. You got this.",
"Friday, September 11th, 2015",8:23,negative,"GET YOUR SHIT TOGETHER, WOMAN. DAMN.",
"Saturday, September 12th, 2015",9:13,me,I lost my appetite today.,
"Saturday, September 12th, 2015",9:13,me,"I haven't really eaten in 2 days, actually. ",
"Saturday, September 12th, 2015",9:13,me,"I used to joke with my friends that although losing your appetite is a cancer symptom, I love food too much to lose any sort of appetite. But now I just can't stomache anything. ",
"Saturday, September 12th, 2015",9:13,negative,Doesn't help when mom puts SEAWEED in my OATMEAL. IT'S NOT HIDING NUTRIENTS WHEN IT'S IN PLAIN SIGHT.,
"Saturday, September 12th, 2015",9:15,positive,"Come on, just take a few bites. Mom went out of her way to make multiple things to make sure you'd eat something. Just eat something.",
"Saturday, September 12th, 2015",9:15,me,I can't.,
"Saturday, September 12th, 2015",9:15,negative,You can't make me.,
"Saturday, September 12th, 2015",9:15,positive,You need your protein. Take it one bite at a time. Deep breaths. A bite at a time.,
"Saturday, September 12th, 2015",9:15,me,I feel so bad. Mom's been working so hard trying to put up with my shit-- I don't want to become a burden because my stupid symptoms. It's frustrating to know that I'm not in control of my own body.,
"Saturday, September 12th, 2015",9:55,me,"I felt bad for not eating breakfast, and went back to the kitchen and told my mom I was sorry.

She turned around and said “Don’t you ever tell me that you’re sorry.”

…then I broke down and cried.",
"Saturday, September 12th, 2015",9:55,positive,"She came over and held me, and as I cried she whispered, “Just remember-- you’re not alone. The pain you’re going through is for hundreds of other young kids who are diagnosed everyday. You’re going to able to know what the pain they’re going through and be there for them. You’re not suffering for yourself.”",
"Saturday, September 12th, 2015",9:55,me,"She sighed and sat down across from me. As I wiped my tears she said, “I can’t imagine being a mother who doesn’t have my medical knowledge. Who’s younger, who might be the only income for her young kids, who doesn’t have a choice. I don’t know how they survive.”",
"Saturday, September 12th, 2015",9:57,positive,"At that moment, my dad walked by and said “WHERE’S MY PHONE?!”

She yelled back “CALL YOURSELF” and he said “I CAN’T CALL MYSELF IF I DON’T HAVE A PHONE”. She mumbled “we have so many other phones in the house…men will be men”, looked at me, and laughed.",
"Saturday, September 12th, 2015",9:57,me,"It's terrifying to no longer be in control of your own body. To not want to eat, to not want to get up, to not want to do anything.",
"Saturday, September 12th, 2015",10:25,me,"Despite my not supposed to be going out because of my weakened immune system, my mom told me emotional happiness was still the most important thing, and said ""well...I know I told you not to go to that art show tonight...but if you promise me to wear a face mask, you can go if it'll make you happy.""",
"Saturday, September 12th, 2015",10:25,positive,First time I've wanted to do something in days.,
"Saturday, September 12th, 2015",10:25,positive,"I swear, art will be the thing that saves me.",
"Sunday, September 13th, 2015",20:18,negative,brb going to go crawl in a hole and die right now.,
"Sunday, September 13th, 2015",20:18,me,I want to say the last 3 days were the worst I've ever had to endure.,
"Sunday, September 13th, 2015",20:18,positive,"But I think people say that whenever they're actually in pain. Of course, in the thick of it, it seems the worst. It's all relative.",
